,title,rating,body
87,Portable and Perfect Size,5.0 out of 5 stars,"When I first tried using the original Switch I felt that it was too large in the hands and had a considerable weight to it which took away a lot from the handheld experience. I’m happy to say that the Switch Lite fixes all of these issues thanks to its lighter and smaller overall footprint. It’s a delight to play with and the battery life seems to be about as good as advertised. I’m getting an estimated 3.5-4 hours with Link’s Awakening which is a fairly demanding game. The screen is also extremely bright and looks absolutely beautiful. The colors are also a lot more muted than I had previously thought they would be. The Gray and the Turquoise both look very nice, though I like my gray one the most because of the nice contrast with the buttons. Speaking of the buttons, they feel extremely good. The buttons are more “mushy” than the regular switch but feel very satisfying. The inclusion of the d-pad is also a welcome addition and it feels just amazing. It’s definitely the best d-pad I’ve ever used. The d-pad has the just the right amount of tactile click and mushiness making it a dream to use. If you can forgive the lack of TV output, this is the best handheld gaming console there is and in my opinion the best Switch there is currently."
88,Not bad at all,5.0 out of 5 stars,"Not bad, although certain games don't work well with a little switch lite screen because it's so small. I struggle with Skyrim and Minecraft. Be aware also that sandbox games run about a the most. Be warned, sandbox games and large RPGs work about as well on this as they do on PS3, which means buggy quests and weird graphics errors. But I'm cheap, and this device makes me happy."
89,Love this little thing !,5.0 out of 5 stars,"The media could not be loaded.
                



 Me and my husband purchased this gadget because we both love Nintendo and we don’t have a lot time to play on TV games so this handheld is deff worth the money ! It had a lot of games and can hold about 3 games without an sd card so I’d suggest getting one but NOT THE 500 something gig cause it’ll corrupt your files but other than that I LOVE THIS PRODUCT!"
90,Grandbaby likes it,5.0 out of 5 stars,Birthday gift
91,great Hand held for travelling,5.0 out of 5 stars,"so I travel a lot and don't spend a lot of time at home. I also play a lot of single player games. So when this system was announced I though great, something I can carry that I don't have to worry about the Joy cons coming off or really needing a big case that my not fit well in to the bag I am carrying. So I picked this up it has been great I carry it everywhere. it plays all the games I have. I still have a OG Switch at home that i use for playing the games that require a constant online connection to play. but I really like having the Switch lite as something to carry around that takes up a small amount of space.Pros:Small form factorno joycons to come loose or break if not in a casebattery lasts longer than the OG Switchsolid build qualitylower priceCons:can't connect to a TVif wanting to play with others you need to get a set of JoyconsOverall it is a great system at a good price point for those the want a Switch but think $300 is to much."
92,great condition,4.0 out of 5 stars,the product was like new no cosmetic defects
93,Only 1 complaint.,4.0 out of 5 stars,"Very fun games. I bought the light to save some money and ny nephew has the original already. My only single 1 complaint is the battery. No one ever warned me about how bad the battery is. And this is supposed to last longer than the original battery? It's fine for a bus trip but definitely not a road trip out of town it lasts maybe 4ish hours. It's not horrible but I remember how the DS, DS lite, 3DS lasted me so long and I could leave it on sleep for months and they would be close to fullIt feels great in my hands. Ashamed to say I have smallish hands for a man. about medium+ glove size. Buttons feel a lot better than the joy cons do. Small enough to fit in male pant pockets unless you wear skinny jeans maybe, I wear lose pants.The speakers a fairly loud or loud enough for me at half volume in a noisy house.Update year later. It turns out my hands aren't as small as I thought. My sister just has huge man hands like kawhi Leonard so I thought I had small hands. I'm a large size - XLarge size glove."
94,Awesome,5.0 out of 5 stars,"I love my nintendo switch lite. I'm a bit of a gaming nerd. It came on time, no damage, brand new out of the box. And it almost had a full charge too. So I was able to set it up and download a couple games before charging it. This is also great for my son for when we're on trips because it had a parental lock on it."
95,I LOVE THIS THING💗,5.0 out of 5 stars,"this is my first nintendo product ever and i’m so pleased! i always wanted to play animal crossing new horizons & now i can! i’ve had this for about 3ish months. i’ve never experienced any shifting with the joysticks or anything like that, there’s really no flaws in my opinion and from what i can see😁👍ALSO. the charger is super long which comes in handy when the outlet is sooo far😂"
96,Portable and Decent battery/Graphics,5.0 out of 5 stars,"The device is surprisingly light, for the battery capacity and quality of gameplay. It’s an excellent console for smaller games I play online or with friends. Usually I have to clean my hands to preserve the white joysticks, since they get a bit stained after long-term use. Although, everything else is good. The joysticks are still good with no drift, and the motion sensors for some games are pretty smooth (Overwatch is a good example). But, one of the joysticks has a metal spring sound whenever i accidentally flick it. Not sure if it’s a problem but it doesn’t affect gameplay for me."
97,"One step above the 3DS XL, but not much.",3.0 out of 5 stars,"The Nintendo Switch Lite offers handheld only play. Which is fine. The color of the Lite is cosmetic only with many different case and skin options. I was able to play a game on the Lite as I play on my console and the first thing I noticed was graphic issues. Distant artifacts (moving objects, other players, static objects) tend to be more pixelated. The farther away they were the more pixelated they were. Some I couldn’t even recognize, even though I’m extremely familiar with the game. A simple 15 minute game play reduced the battery from 100% to 83% with the game mentioned earlier. Battery life varies from game to game. The device got warm while playing but was noticeably warmer while charging, in sleep mode. Thankfully there is a setting to power the device completely off to save battery instead of keeping it in sleep mode. The device felt sluggish trying to play said game. Not sure if the game was taxing the system as there is a lot going on and needs to be connected to WiFi. Has many Nintendo classic games for sale of course, or you can buy new games for $60. Which the price of them doesn’t fall for almost a year. The screen is a touchscreen. Overall I would give the Nintendo Switch Lite a generous 4/5 stars. But I’m reality it’s a 3/5 star device due to no backward compatibility with prior system games, high cost of games long after they’ve came out, very limited free games section, weak battery life and as I said before a weak graphics chip. The Lite should have cost $150, with the regular switch costing $250. If you see the Lite being sold for more than $199 then your being scammed. Buy from someone else or someplace else. The regular Switch is being sold for $299. Again higher prices means your being scammed. Regardless of the color of the device or controllers."
98,Didnt work,3.0 out of 5 stars,I bought this for my grandson when he got it it did not work.  It has nothing to do with the seller as anything human made can do that.
99,AMAZING PRODUCT,5.0 out of 5 stars,It works great and hasn’t had any issues so far with working it or setting up!! Amazing products😁
100,Great Console for all ages!,5.0 out of 5 stars,I bought the Nintendo Switch Lite for my Brother this past week and my Sister a couple months back and they both love it! My brother is especially loving it and it makes me so happy to see him loving it so much! I’d say the only complaint I have but isn’t that big of a deal is the setback of only having it portable but that’s just my own opinion and does not discourage my sister or brother in any way. It’s a great product and I’d highly recommend it to anybody who’s looking into buying a cheaper version of the Switch “Also lookout for Joycon Drift especially on the Lite since it can be a real pain for both the regular switch and Lite”
101,Great for on the go gaming and very pocket friendly!,5.0 out of 5 stars,This system is great if you’re on the go a lot and don’t really need to play on the TV.  Whatever version of the Switch you choose you’re still going to get access to a stellar line up of games old and new!
102,Awesome ❤️,5.0 out of 5 stars,Came in ahead of time. Beautiful condition for referbished. Works fantastic.
103,"It's not as great as the original switch, but if you need an alternative, this can work.",4.0 out of 5 stars,"I got the lite because the price of the regular switch console just kept going up. The switch lite arrived within a decent amount of time. I've probably had it for two months now and I like the feel of lite, but I really do wish it had an adapter or something to connect to the tv because the smaller screen just doesn't bring home the intensity for some games. The lite works just fine and all the parts were in it. As you can see in my, I've modified my lite. The thumb grips seemed like a must for the lite, as without them my thumbs kept slipping off the analog sticks and I kept accidentally pressing in on the analog stick on some games trying to make keep my thumbs from slipping when i needed to attempt soft maneuvers. Battery lasts about 2.5 hours, so i don't have to worry too much about charging when I'm on the go."
104,Fits me perfectly,5.0 out of 5 stars,"The media could not be loaded.
                



 I love my switch. I am slowly coming back into gaming and I needed an in between console until I get my ps5. This was perfect for my needs. The only down side I can see is that not that many people I know have a switch so I can’t play multiplayer and they don’t have be repertoire of games. However, if your into specific games like Mario, crash, or big names like that then this is a great console to have.They also have a lot of indie games if that’s what you are into."
105,Best handheld console in recent times,5.0 out of 5 stars,"As this is my first switch I’ve owned, I cannot compare it to the original one, but as a standalone product I can-it feels really nice to hold, there’s no getting used to how it’s designed, and my hands don’t get stiff if I play too long-it works really well as a portable console, the ability to play certain games like doom, or skyrim anywhere is really fun, it brings me back to when I had a 3ds-quality games, Nintendo never fails at making a fun product, Mario, animal crossing, etc, the games alone make this worth buying-games are kind of overpriced, Minecraft is 30$, terraria is 30$, doom 2016 is 60$, etc etc, just keep in mind switch games ARE NOT cheap"
106,Love it,5.0 out of 5 stars,Works and feels great! Love it!! Got to me overnight!
107,Looks promising but so disappointed. Just don't buy it,1.0 out of 5 stars,"My family controls my life so strictly as I was a junior student at school. My old dream were to own a PSP console. Years later, now I can afford any machine as long as I want it. However, this purchase made me really angry. As the great Gatsby movie quote. You cannot repeat the past. It did not give me that warmth I ever wanted to have. Four points to bet you give it up.1. Poor quality display. I was prepared but never expected such a horrible one. You cannot get used to it anymore as long as you used any $500 phone before.2. Horrible sound quality, no any special sound processing .3. You must quit your game center hooked up with your TV before you can have anything playable on your lite as a backup machine. I know its copyright problem but it is just extremely disgusting in this platform. Why did I bother to even try one as I have iPad mini6, iPad pro11 and iPad pro 12.9 plus couple of other high end phones. Indeed, they may not have that many first hand games officially but we can try PPSSPP simulator on phone or iPad. Then you can just enjoy yourself without worrying about any syncing problems. Lol4. Wow, what a cheaply made grip.Indeed, I requested too much from a $200 device as cheap as cheap always. I will back to my iPad and maybe Sony PlayStation thereafter. And leave one OLED edition hooked it up with the TV for my guests in weekend party. But just not for me, fortunately, I only purchased one 512GB SD Card for this gadget and I will not waste too much on it.In a word, if you were not familiar with nitendo gaming system or looking to find your old dreams and trying to repeat them. Never ever try this machine. Looks like an awesome item but horrible experience and only brings you anger and you may just crack it in a near future.Above"
108,Quality Switch!,5.0 out of 5 stars,Great price!None were available in Hawaii during Xmas. Amazon rose to the occasionProduct came early & in good packaging!No scratches & works prefectly!
109,I mean it works,3.0 out of 5 stars,"It was listed as Used-Good and probably would barely qualify as Used -Acceptable. The port for the charger is cracked in two places, there’s two noticeable deep scratches in the screen and the trigger buttons on top are crusty like something sticky was spilled on this and never cleaned off. It was only $30 cheaper than retail and I got a quality of product that would be on Facebook market place. So frustrating! I should’ve just bought it full price from Nintendo."
110,Needs and update,3.0 out of 5 stars,"There is nothing wrong with Nintendo Switch, it's an awesome system full of awesome games. However, Nintendo is charging $200.00 for 2015 tech, some games stutter and are unable to run at 60 fps."
111,Great,5.0 out of 5 stars,Size and color
112,Perfect Gift for a nine year old,4.0 out of 5 stars,I gifted this to my 9 year old great nephew he absolutely love it.  Nintendoneeds to consider adding at least one game cartridge.
113,Great game system!,5.0 out of 5 stars,"This game system is fantastic. I have been using it to play a number of games, and the buttons, screen quality, and overall weight of the system are perfect. The bright yellow color is wonderful as well! :) -- The only recommendation I would make is to get a case for your switch to protect it for storage and travel, especially to protect the screen.Although people have been talking about button drift (and I have read plenty of negative reviews about it), I have not personally experienced this issue with my Switch."
114,Absolutely Love It,5.0 out of 5 stars,This was a beautiful birthday present for my son and he fell in love with it. The quality was great. The color was beautiful. Setting it up was fast and efficient and it has a descent amount of memory space. The shipping was super fast as well.
115,Fun!,4.0 out of 5 stars,I Purchased the original switch for my grandchildren to play when they came to my houseThey like to play it enough that I decided to buy Nintendo switch light for them for Christmas at their houseI had emailed Nintendo asking them before I bought it if I could transfer the data that I had purchased on the original switch to the switch light and never got a reply so I was a little concerned about buying itOnce I received the Nintendo switch light I went into set up which was really easy to do and it allowed me to download the purchases I had made on the original switchSo now they can play all the games on the switch light that we have on the original switch which is amazing and save me hundreds of dollars on games.
116,Ok,4.0 out of 5 stars,It's okay it's just a battery goes dead too fast I like it if I could afford the games for it I just got one game but I guess obviously get some games work I like the animal crossing the new one that I got
117,Defective Switch but Great Customer Service,5.0 out of 5 stars,"I received the switch and when playing there was a loud noise. The noise was coming from the fan. The noise was so loud that I couldn’t hear the game at all.The reason that I gave a five star for this item, is for the transaction itself. Amazon was great! When I contacted them and explained the situation they immediately gave me instructions on how to return the item and I received the refund immediately. Unfortunately, I couldn’t reorder the Switch from the seller because it was sold out at that time."
118,The only place that didn't gauge prices,5.0 out of 5 stars,"It's used but works like brand new. They included the game and the charger, which was all I needed.Every other place right now is gauging prices like crazy. A Switch Lite should only cost $199, but everywhere that still has them is charging between $260-$320 at the moment.I got lucky enough to find this place selling a used SL for $169 and it was worth every penny.The game system is light and easy to handle while still feeling sturdy. The screen shows off a super clear picture and so many details that it blows my mind to realize we've come this far with hand-held systems.The controls respond very quickly, and I'm incredibly happy with my purchase."
119,Arrived on time and in good condition.,5.0 out of 5 stars,Everything was as expected and my Switch is working great.
120,Nintendo makes good products,5.0 out of 5 stars,"Nintendo always does a good job and the switch lite is no exception. It's untrue that you can't play games unless connected to the internet. I played Animal Crossing and several other games for weeks to months without being connected to the internet (digital downloads and hard copies). Whoever wrote that must be talking about specific content in a specific game that requires internet (many games have features that require internet, that's not new).System is very light weight, has a good battery life and sits very comfortably in your hands. Colors are bright and it charges very quickly. Totally worth getting, I've spent hours upon hours happily playing games on it."
121,Getting me through 2020,5.0 out of 5 stars,"Purchased this to help me get through 2020. Best decision ever. Playing all of the Dragon Quest games the switch has available including the DQ11. I did read that many people have problems with the drifting of the controllers and was worried about that, but after months of heavy use I still don’t have any problems. I’ve played well over hundreds of hours so I got my money’s worth. I know it’s hard to get across a switch these days or even a switch lite, but keep an eye out and it’s totally worth paying the original price."
122,Items you need for your Switch Lite and color matches perfect!,5.0 out of 5 stars,I have to say this is a quality kit and I am using most of what came with it.  Case is top notch the glass screen protectier is perfect and the back plate cover makes the switch much easier to hold.  Can not go wrong for the price!  I will say if you own a yellow switch Lite like I do put some paper towel inside the case where the back plate grips lay inside as mine did get some black staining.  I wrote to the company and hopefully they correct this. Must have kit if you buy a Switch Lite!
123,"Good product,a touch pricey unless you have money to burn",4.0 out of 5 stars,"Comfortable and fun to use,full color.Pretty sturdy.I should know,Ive dropped it a couple times.I’m happy with it overall for sure"
124,Christmas gift for 6 year old,5.0 out of 5 stars,Got this for my 6 year old because she has been dying to play games with her dad. She picked up how to use it quick.
125,Recreational Gaming for Beginners!,5.0 out of 5 stars,"Super fun, highly recommend if you are not a video game person but for some reason you feel left out, after almost a year after the pandemic started and after watching endless hours of reviews, unboxing, and customization youtube videos and you say ""enough is enough"" and you buy it in the middle of the night so you won't remember and immediately forgive yourself after playing for around 10 mins. So yeah, if you can get it please treat yourself!"
126,4/5,4.0 out of 5 stars,Perfect! Came with everything together and not broken. But the “ coral” shown looks nothing like the real collar but it is fine! Came with free a game to Download. I was very happy. The game was fortnite. Very happy with this purchase!
127,Doesnt connect to a tv,5.0 out of 5 stars,"The system feels like matte paint it doesnt or feels glossy. I like it this way, less finger prints etc.. but it can get dirty and stained quicker. Can not be atached to tv like the previous one. That i dont like as much but if u have both like i do. I just use this one as a back up. At first i thought u couldnt do multiplayer cuz, you cant remove the joy cons. But if you own or buy another set, it can still be detected.in other word you can still play mario party , kart etc 2,3 or 4 players..the downside again  no tv. But so far the console responds and its still the same switch."
128,"Opened the Nintendo Switch box, but No Nintendo Switch only the charging cord…",2.0 out of 5 stars,"I received my order on time as ordered the box was in good condition. I wrapped the box and gave it to my grandson for his 8th birthday, only for him to open the box with no Nintendo Switch only item in the box was the charging cord."
129,Fantastic!,5.0 out of 5 stars,"I've thoroughly enjoyed this smaller, lighter, handheld version of the Nintendo Switch. It's the perfect size for a device that you can throw in your bag, but at the same time, has the power to play expansive games that you can get lost in.Honestly, I don't find myself missing the ability to play on my TV or use the detachable Joycons. I know it may sound crazy, but I would gladly trade my Nintendo Switch for my Nintendo Switch Lite, and with the price tag of the former at $100 more, for me, that makes total sense.P.S. If you want to play the SNES games through your Nintendo Switch Online Subscription, this D-Pad is flipping awesome. I can't stop playing Legend of Zelda: A Link to the Past!"
130,Love the variety of games and the option to play with family and friends!,5.0 out of 5 stars,"This is awesome!! So much fun, and I love being able to play with my family and friends. I also love that I can access and play so many of the older games I grew up playing - from the original NES, Super Nintendo, and so on - while also being able to play the newer games. I’m so excited to finally have one of these!"
131,It was a great value.,5.0 out of 5 stars,My daughter loves it. The only thing I don't like is the fact that you have to pass off the device to a friend to play with you. I should have spent the extra money and gotten the regular version that way it could hook up to the tv and a friend can play at the same time. But overall great product and delivered quickly.
132,This is awesome👍,5.0 out of 5 stars,"If your looking to get a cheaper yet effective portable device, then this product is right for you. Just make sure to buy a coverage plan along with other stuff such as screen protector and a case for it if your kids want one. Price was very good and more than fair and I haven't had any issues since."
133,Excellent,5.0 out of 5 stars,"What can you say??It's a great system.But I've been buying or playing Nintendo's stuff since the mid 80's so maybe I am a biased fanboy?Nah, it's a great system either way. Worth $300 for the larger system and $200 for a lite is almost stealing imo"
134,Coral Lite,5.0 out of 5 stars,"I really didnt want to buy a lite because I wanted to buy the regular switch. However, after the high demand for the switches and high prices I decided to go for a switch. The color is absolutely beautiful! I think its the best color out of all the switches! The lite is light and easy to carry. I use it to play animal crossing and I love it! If you don’t want to spend as much money on a regular switch make sure you buy a lite! Definitely worth its money value!"
135,Juegos para llevar,5.0 out of 5 stars,"Una gran consola ahora en su versión mini, o Lite como la llamó Nintendo. Lo primero que debes saber es que esta consola es solo portátil, es más pequeña, mas liviana y sin la posibilidad de conectar a una TV, está pensada para sostenerse en la palma de la mano, los joycon no son desacoplables. Dicho esto es un apuesta sólida con un catálogo de juegos amplio, robusto y para todos los gustos, eso si fíjate que salvando las diferencias, hay juegos que no dan la misma experiencia que la Switch normal."
136,Perfect,5.0 out of 5 stars,And it even showed up early.
137,My son is very happy!!,5.0 out of 5 stars,"Very well protect it by the package, very nice, original, easy to set up...very glad of my purchase!!"
138,Great purchase!,5.0 out of 5 stars,Very happy with our purchase. Well packaged and fast shipping.
139,Easy gaming and just fun,5.0 out of 5 stars,"I have played the original Switch, but I love the Lite so much better! Of course the price tag is better for my wallet, but also the games are 100% the same and I would argue look a little bit better on the smaller screen with the same resolution.The only downside is you can't cast to a television, but I wasn't looking for that feature. If you are, stay with the original. If not, this is a perfect console for sitting around the house and playing games that are more complicated and engaging than mobile phone games on iphone or android."
140,I love it,5.0 out of 5 stars,"Works perfectly!! I'm really enjoying animal crossing and I'm even thinking about decorating it. There are better reviews from people who game on the regular but..It doesn't have a cheap plastic feel to me and feels sturdy. it's hard plastic and the screen is also a hard plastic and smudge proof. I could drop it many times and it'd be fine, especially since it's pretty light."
141,Best choice for spending less.,5.0 out of 5 stars,I loved the Nintendo Switch lite and the handheld ability to have a better feel for playing games. But it didnt come with a kickstand or a dock so I had to pay for the dock separately. So far the Switch Lite is my favorite if you dont want to pay extra for the actual Switch itself.
142,Good,5.0 out of 5 stars,Love it
143,A great console,5.0 out of 5 stars,I had bought this for my girlfriend and she loves it! It’s very portable and easy to use. It’s a great handheld console for kids that will keep them busy while you are getting trashed at the bar ignoring your parenting skills
144,Great Buy,5.0 out of 5 stars,"I bought the Light version of the switch because I didn't want to buy another console.The switch Light screen is smaller than the Switch itself but it is Light weight and easy to play.Set up was very easy and straightforward too. I highly recommend this system. It's great as a hand held device and convenient for travel, especially with kids."
145,Portable light weight easy to use.,5.0 out of 5 stars,I love it!!! Easy to use and durable. I love the fact that you can easily take this on the go. Doesn’t connect to the tv like the Nintendo switch original version. You can play with friends vía wifi or local. You do have to pay for an online membership if you are wanting to play with friends via internet. Graphics are amazing on this and charging is fast. The battery will last you a long time.
146,I love my Switch Lite!,5.0 out of 5 stars,"I LOVE my Nintendo Switch Lite. I’m simple; I grew up on Super Mario and the Wii. This newest update for single handheld gaming is great for someone who just wants to play games like Animal Crossing: New Horizons by herself. I don’t need the docking station Switch, and I love having my own gameboy to enjoy. Great for travel, relaxing time, any time I want to play. Also love the coral pink color! :) Worth the money for me. I really enjoy it."
147,My favorite gaming console,5.0 out of 5 stars,I love this switch so so so so so much! I love the color! I talk a lot about this switch to my friends. This was my graduation gift and I've been playing on this since May and I've never stopped lolol. The joy of gaming :)
148,Nintendo switch,5.0 out of 5 stars,I bought it as a gift for my wife. She totally loves it.
149,Came as described,5.0 out of 5 stars,Item came as described and by delivery date.
150,Well worth the money,5.0 out of 5 stars,"I got yellow because it's different from what I usually get. I love my switch lite. It's worked perfectly since I got it, and I play play it pretty frequently. It's pretty comfortable to hold and use too. I used to have a pop and I like playing on this more."
151,Good buy,5.0 out of 5 stars,My two sons play with this all the time. It’s quite durable and holds charge for the day.
152,Arrived on time and as expected,5.0 out of 5 stars,Gift. Arrived on time and as expected
153,Arrived on time,5.0 out of 5 stars,"Arrived on time, it works perfect, condition is new."
154,"First one died within a few uses, 2nd one works great",4.0 out of 5 stars,"The Switch Lite died within a week of getting (3 total uses). By die I mean that the console wouldn't turn on at all, despite having a full charge at the time, trying hard reset, etc.  I'm getting a replacement and will update the review when I get it.****""Edit:******I have a new device that has been working really well for several months. I love the device. It's extremely portable and fun to play.  I will say that several games don't work with the lite but if you read reviews before buying you should be fine."
155,No Idea What This Does,5.0 out of 5 stars,"Nephew wanted it, he’s happy, then I’m happy."
156,It works good for a pre-owned item!,4.0 out of 5 stars,Overall good console. The L button gets stuck but not a big issue!
157,Delivery person was careless,4.0 out of 5 stars,"The product it’s self was fine , and everything worked well. I would give it 5 stars, but the person who delivered the item , literally decided to just throw it in a puddle of water , right when they see me turn on my porch light."
158,Seeing A Smile On My Son Face,5.0 out of 5 stars,"A very nice handheld game I’ve brought for my step son he really loves it. Good to let your child take on road trips or just playing with it at home. Also, it’s very easy to set up an account profile. If I had more kids I’ll buy it for them as well, very worth the money."
159,Love it!  Not one complaint!,5.0 out of 5 stars,"So to start off it should be noted that I own the original Switch (which I have loved since the day it came out).  Decided to get this one to use as more portable option to bring with me on trips.  I did notice that it was quite a bit lighter smaller than the original Switch but, despite this, it maintains a solid feel in the hands.  Doesn't feel cheap or flimsy at all.  I purchased the Turquoise version and love the color.  This is really a great system and I am sure to play it for years to come!"
160,Good enough,4.0 out of 5 stars,"The Lite doesn't have any way to connect to a TV, but there's no JoyCons to charge. The battery life and screen aren't exactly amazing, but all in all the lower price makes it worth it. My only regret was getting the Gray one instead of waiting for Coral Pink."
161,Great Bday gift,5.0 out of 5 stars,Best birthday gif for my 7 year old boy
162,Love it,5.0 out of 5 stars,It was a gift for my fiancé. Easy gaming on the go. He’s able to take it with him to work and keep himself entertained on long slow nights.
163,Package was damaged,3.0 out of 5 stars,"Package was damaged but the switch was fine , I was a little worried at first but thankfully nothing bad happened to the switch ."
164,"Great purchase, button issues within months however",3.0 out of 5 stars,"Love my Switch, but some commonly used buttons are starting to have response issues after only three to five months of steady use.I bought a transparent case and screen protector for it so I can’t comment on its own physical durability. The Switch Lite is overall a good size, shape, and look. I’ve used (but didn’t have) the regular Switch, but haven’t felt like I’m missing out on anything, since I just wanted a handheld device and not a TV-connected console. I basically feel like I have a lesser DS (no stylus, no flip design, no double screens, not as portable), but with a bigger screen for visuals and a better, newer games library than the DS had.The buttons dilemma hasn’t made it unusable yet and it has been a good source of fun, so for now I still think it was worth the purchase."
165,Great for tween daughter!,5.0 out of 5 stars,I bought the Switch Lite for my daughter for Xmas 2020 and it was a big hit. She loves her Switch Lite and uses it everyday. I am thrilled that she has gotten so much use from her Switch Lite.
166,Loved it! but if you have kids would recommend the original one,5.0 out of 5 stars,I loved it! Came in good condition and did a good job shipping. But I would like to inform all of the parents considering to buy this for more than 1 kid. I don’t suggest it. Why I think it’s harder to share and you can’t play multiplayer. The only reason I got it is because I don’t share with much people. If you are considering getting one I suggest just get one for each kid.
167,Great Condition!,5.0 out of 5 stars,"I love that it is actually NEW. Came sealed, with all the protection on it and even though it took a little time, it was worth it. I wanted to get this color for my sister's birthday but everywhere I went here, they were all sold out. I'm happy that I was able to find this in Coral (which is the one I was looking for) and it was worth the price. My sister loved it!"
168,"Compact, good when traveling",5.0 out of 5 stars,Gift to grandson…he’s happy
169,Lite vs standard,4.0 out of 5 stars,It’s not as good as the standard but it gets the job done
170,Needs frequent cleaning,4.0 out of 5 stars,"Nice color. I don’t like having to clean under the left toggle with rubbing alcohol, but if I don’t do it my character starts to wander, rather than stay in place. I understand this is a known problem, but it SHOULD be fixed by now. Sloppy management."
171,Replacement for a switch,5.0 out of 5 stars,Ordered to replace an regular switch. The only difference is the lack of rumbling feature. Would highly recommend this over a regular switch as we replaced the paddles at least 4 times.
172,Came in great condition,5.0 out of 5 stars,I was a little worried ordering a Nintendo Switch from the internet bit it arrived on time and in great condition
173,Son loves it. Easier to hold & control w/ smaller hands,5.0 out of 5 stars,My son was always using his fathers switch he got last Christmas. So we got his own. He loves it. Perfect for his little hands. He’s 4 1/2yrs old. Actually teaching me how to play games now. Better for him but wish the sides came off like his fathers switch (reg. Switch that docks).
174,Came in earlier than expected no issues brand new,5.0 out of 5 stars,"Came in early, no issues"
175,"Highest quality, at a discount, plus easy online syncing",5.0 out of 5 stars,"Highest quality (dedicated) Nintendo handheld since the 3DS XL. 2/3 the weight of the big Switch, and the cloud sync feature with Nintendo Switch Online is absolutely lovely (for the most part).The missing features are glaring, but if you have a Switch, (for example, a family Switch that's always in the living room/den,) then a family NSO subscription and a handful of Switch Lites is the *perfect* gift. Just make sure you set up the eShop accounts on the Switch Lites *first*, and then log in on the main unit."
176,Very nice,5.0 out of 5 stars,Grandkids love it
177,Teen Approved,5.0 out of 5 stars,"I bought this for my 13 year old for Christmas and he barely puts it down.  He specifically asked for a yellow one and says it is ""great"" so I guess it is.  I admit I don't play it but felt a parental point-of-view might be helpful to some.  My wife and I do watch what he plays and he hasn't been playing anything age inappropriate.  Since he likes it, we feel it was worth the purchase as a gift."
178,i'm happy to have this unit in my favorite color,5.0 out of 5 stars,i'm glad that this unit is in my favorite color as soon as i saw this advertised i wanted it immedietly
179,It’s good for what it’s worth,5.0 out of 5 stars,"Okay, so it is exactly as what it said it was going to be, not as good as the original switch, I thankfully have family switch, but if you have a family and don’t really want to share, this is what you should get, but I do miss having removable joy-cons"
180,Bee Yellow Nintendo Switch!!,5.0 out of 5 stars,"You can't see the original Switch Lite because I added a decal, but the game system came in perfect condition.I was originally going to pick turquoise, but I couldn't wait until the restock!The system works fine, it's lightweight before adding the decal & the case, so keep that in mind when deciding to decorate your Switch."
181,Lots of fun,4.0 out of 5 stars,The color is fun. This was a gift for our child. She loves it. We like that there are no removable joy cons for her to lose.great gift It seems durable & most switch games can be played on it as long as it is not a game that requires removable joy cons. It was a little pricey as to supply is low & demand is high.
182,Amazing buy!,5.0 out of 5 stars,I love it so fun and poetable
183,My favorite hand held councile,5.0 out of 5 stars,"Love my counsil. Easy to transport, comfortable in my hands, and great graphics. I play alone so this was perfect for me to play anywhere. If you are a single player who wants the freedom to play wherever with a sleek light council I totally recommend."
184,Defective,5.0 out of 5 stars,Our charging port quit working after having it a month and we are in the process of find a place to repair it.
185,Awesomesauce,5.0 out of 5 stars,Love it! Couldn't find any switches anywhere in a 200 mile radius so we went to Amazon and they have every color. The switch looks and works perfectly. Had to get another because it was so good and came in fast.
186,The seller did a great job replacing the one that I was sent I would buy from them  again,5.0 out of 5 stars,There was nothing that I dislike about it like I said I would buy from them again
187,A good console,5.0 out of 5 stars,"Just got me Switch , came in new . It was nice and clean . Had no problems with it , works very well . Easy to use , I recommend y’all to buy the lite if y’all don’t want to waste that much money on the original switch."
188,Love,5.0 out of 5 stars,I love the switch. It took me so long to get one but fell in love with it. Some old get titled game that I used to play when I was a kid on the go. Plus fantastic new game that are amazing. Also I don't have to take over the TV to play
189,Currently loving it,5.0 out of 5 stars,"I decided to buy the grey one after much deliberation over which color I wanted. I've already played almost 50 hours on my favorite game and I was right to pick a neutral color to not burn my eyes on as I played. All in all, the left joystick is more loose than I would have preferred but the right one is solid and the d-pad is nice to have (missed it from the handheld era and I'm glad it's back). Highly recommended purchase if you have a game you're dying to play and you love portability."
190,My little girl loves her nintendo switch,5.0 out of 5 stars,We love our switch
191,A very pretty yellow,5.0 out of 5 stars,I love everything about my game system. No regrets at all
192,Nintendo Switch,5.0 out of 5 stars,"This product was a Christmas Gift for my daughter.  This was on her most wanted list and I actually told her that she probably wouldn't get it because money was tight.  (She's 17 and this is true, money was/is tight).  You can imagine the look of surprise on her face when she opened the gift and saw what was inside. She was so surprised and her father and I couldn't have been happier."
193,Nintendo Switch lite,5.0 out of 5 stars,"I just received this yesterday. So far I like it. My daughter has the regular Switch in her room. I thought I’d like to have one but didn’t want to hook one up to my TV since my husband is always watching tv programs. I heard there was one that was just handheld . I have always had a Nintendo handheld. I loved the 3DS but no new games out. I played it for hours yesterday. I’m an adult, a grandmother, have played Nintendo games since the 1980’s."
